name|folder|def|order|key|avatar|idle|walk|punch|kick|guard|hit
Jonathan|Jonathan|Jonathan|1||||||||
Jonathan1|Jonathan1|Jonathan|1||||||||
Vampire Jonathan|Vampire Jonathan|Vampire Jonathan|1||||||||
Dio Brando|Dio Brando|Dio Brando|1|dio|mugen/dio/idle_00_0_7.png|mugen/dio/idle_00_0_7.png;mugen/dio/idle_01_0_8.png;mugen/dio/idle_02_0_9.png;mugen/dio/idle_03_0_10.png|mugen/dio/walk_00_20_0.png;mugen/dio/walk_01_20_1.png;mugen/dio/walk_02_20_2.png;mugen/dio/walk_03_20_3.png;mugen/dio/walk_04_20_4.png;mugen/dio/walk_05_20_5.png|mugen/dio/punch_00_200_35.png;mugen/dio/punch_01_200_36.png;mugen/dio/punch_02_200_37.png;mugen/dio/punch_03_200_39.png;mugen/dio/punch_04_200_40.png;mugen/dio/punch_05_200_40.png;mugen/dio/punch_06_200_34.png|mugen/dio/kick_00_200_58.png;mugen/dio/kick_01_200_59.png;mugen/dio/kick_02_200_60.png;mugen/dio/kick_03_200_61.png;mugen/dio/kick_04_200_62.png|mugen/dio/guard_00_120_0.png|mugen/dio/hit_00_6000_0.png
boxingDio|boxingDio|boxingDio|1|dio|mugen/dio/idle_00_0_7.png|mugen/dio/idle_00_0_7.png;mugen/dio/idle_01_0_8.png;mugen/dio/idle_02_0_9.png;mugen/dio/idle_03_0_10.png|mugen/dio/walk_00_20_0.png;mugen/dio/walk_01_20_1.png;mugen/dio/walk_02_20_2.png;mugen/dio/walk_03_20_3.png;mugen/dio/walk_04_20_4.png;mugen/dio/walk_05_20_5.png|mugen/dio/punch_00_200_35.png;mugen/dio/punch_01_200_36.png;mugen/dio/punch_02_200_37.png;mugen/dio/punch_03_200_39.png;mugen/dio/punch_04_200_40.png;mugen/dio/punch_05_200_40.png;mugen/dio/punch_06_200_34.png|mugen/dio/kick_00_200_58.png;mugen/dio/kick_01_200_59.png;mugen/dio/kick_02_200_60.png;mugen/dio/kick_03_200_61.png;mugen/dio/kick_04_200_62.png|mugen/dio/guard_00_120_0.png|mugen/dio/hit_00_6000_0.png
Anthonio Zeppeli|Anthonio Zeppeli|Anthonio Zeppeli|1||||||||
Joseph|Joseph|Joseph|1||||||||
Joseph Joestar|Joseph Joestar|Joseph Joestar|1||||||||
Joseph4|Joseph4|Joseph|1||||||||
Joseph 5|Joseph 5|Joseph|1||||||||
Caesar Zeppeli|Caesar_Zeppeli|Caesar_Zeppeli|1||||||||
Stroheim|Stroheim|Stroheim|1||||||||
LisaLisa|LisaLisa|LisaLisa|1||||||||
Ultimate Kars|Ultimate Kars|UltimateKars|1||||||||
Jotaro Kujo|Jotaro Kujo|Jotaro|1|jotaro|mugen/jotaro/idle_00_0_0.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/walk_00_20_0.png;mugen/jotaro/walk_01_20_1.png;mugen/jotaro/walk_02_20_2.png;mugen/jotaro/walk_03_20_3.png;mugen/jotaro/walk_04_20_4.png;mugen/jotaro/walk_05_20_5.png;mugen/jotaro/walk_06_20_6.png;mugen/jotaro/walk_07_20_7.png|mugen/jotaro/punch_00_200_0.png;mugen/jotaro/punch_01_200_1.png;mugen/jotaro/punch_02_200_2.png;mugen/jotaro/punch_03_200_2.png;mugen/jotaro/punch_04_200_3.png|mugen/jotaro/idle_00_0_0.png;mugen/jotaro/idle_01_0_1.png;mugen/jotaro/idle_02_0_2.png;mugen/jotaro/idle_03_0_3.png;mugen/jotaro/idle_04_0_4.png;mugen/jotaro/idle_05_0_5.png|mugen/jotaro/guard_00_120_1.png|mugen/jotaro/hit_00_0_8.png;mugen/jotaro/hit_01_0_9.png;mugen/jotaro/hit_02_0_10.png;mugen/jotaro/hit_03_0_11.png
