name|ref|preview|music
Great Snowfield of Iron|stages/GreatSnowfieldofIron.def||sound/Snowfield.mp3
Final Valley|stages/F.def||sound/Final_Valley.mp3
Moonlit Battlefield|stages/Moonlit_Battlefield_NSUNS4.def||sound/Moonlit_Battlefield_NSUNS4.mp3
El Tesoro del Cielo|stages/El Tesoro del Cielo.def||sound/El tesoro del cielo.mp3
Fortress|stages/Koroukan.def||sound/MarineFordEdit.mp3
Market|stages/Market.def||sound/Battle Counterattack!.MP3
Wasteland|stages/Wasteland.def||sound/Challengers.mp3
Starry Night|stages/Starry Night.def||sound/Luffy VS Blueno.mp3
Tenkaichi Budokai|stages/Tenkaichi_Budokai.def||sound/Batlle Supreme.Mp3
Konoha_Destroyed|stages/Konoha_Destroyed.def||sound/Flying_Light.mp3
New_Saiyan_Planet|stages/New_Saiyan_Planet_1.1.def||sound/ChallengerEdit.mp3
[DM] Supreme Kai's Planet|stages/Supreme_kais_planet.def||sound/Butchi GIRI no Sugoi Yatsu Edit.mp3
Epic-world,Warlord`s Tomb|stages/Epic-world,Warlord`s Tomb.def||sound/Overlord 2 Netherworld Epic Edit.mp3
SF IV - Training|stages/SFIVTraining_16_9.def||sound/SFIVTraining.mp3
Minato vs Masked man|stages/minato vs masked man.def||sound/Minato vs Masked man.mp3
Temple Taurus|stages/TempleTaurus(openGl).def||sound/Saint Seiya Soldiers Soul Soundtrack_ Event 2.mp3
Rooftop|stages/Rooftop.def||Sound/Rooftop.mp3
Awakening|stages/Awakening.def|mugen/stages/17-awakening.png|sound/Awaken.mp3
In The City|stages/InTheCity.def||Sound/InTheCity.mp3
Palais de Mizard|stages/PalaisdeMizard.def|mugen/stages/19-palais-de-mizard.png|sound/Saint Seiya _ Chapter Sanctuary OST _ BGM 04.mp3
Forest of Giant Trees|stages/Forest of Giant Trees.def||sound/Levi  Devils of Paradis vs Marley Battle Theme.mp3
Aaroniero Stage|stages/Aaroniero Stage.def||sound/Morning Remembrace.mp3
Dio's Mansion|stages/Dio's Mansion.def|mugen/stages/22-dio-s-mansion.png|sound/Decisive_Battle.mp3
Castle|stages/Mittelbirge.def|mugen/stages/23-castle.png|sound/Jonathan.mp3
Avalon|stages/Avalon.def|mugen/stages/24-avalon.png|sound/Avalon.mp3
Self-imposed imprisonment|stages/jotaro_b.def|mugen/stages/25-self-imposed-imprisonment.png|sound/Jotaro_Theme.mp3
A Health Room|stages/jjba-kakyoin.def|mugen/stages/26-a-health-room.png|sound/Kakyoin_Theme.mp3
A battle within folklore|stages/jba_tiger.def|mugen/stages/27-a-battle-within-folklore.png|sound/Polnareff_Theme.mp3
A deserted town in Saudi Arabia|stages/desert-town.def|mugen/stages/28-a-deserted-town-in-saudi-arabia.png|sound/HolHorse_Theme.mp3
Libya Desert|stages/desert.def|mugen/stages/29-libya-desert.png|sound/10 - Iggy's Theme.mp3
Ruins|stages/Ruins.def||Sound/06 - Muhammed Avdol's Theme.mp3
Ya big bully!|stages/k-alessy-a.def|mugen/stages/31-ya-big-bully.png|sound\09 - Joseph Joestar's Theme.mp3
JBA-Mansion Lobby|stages/jba_lobby.def|mugen/stages/32-jba-mansion-lobby.png|sound/21 - Vanilla Ice's Theme.mp3
Streets Of Cairo HD 1.1|stages/MANU_Jo-02 [1.1 zoom].def||sound/Dio's_World.mp3
Clocktower|stages/jjba-ctower.def|mugen/stages/34-clocktower.png|sound/Noble Pope.mp3
Final Battle Under The Blue Moonlight|stages/bridgemoon1.def|mugen/stages/35-final-battle-under-the-blue-moonlight.png|sound/Dio_Theme.mp3
Final Battle Under The Red Moonlight|stages/bridgemoon.def|mugen/stages/36-final-battle-under-the-red-moonlight.png|sound/Dio_Theme.mp3
jojo4-mukadeya|stages/jojo4-mukadeya 1.1.def|mugen/stages/37-jojo4-mukadeya.png|sound/Stand.mp3
jojo4-niji|stages/jojo4-niji 1.1.def|mugen/stages/38-jojo4-niji.png|sound/The_Hand.mp3
Kira's House|stages/Kira's House.def|mugen/stages/39-kira-s-house.png|sound/Killer.mp3
MANU_Jo-06|stages/MANU_Jo-06 [zoom].def|mugen/stages/40-manu-jo-06.png|sound/Jojo_DiU.mp3
MANU_Jo-05_1.1|stages/MANU_Jo-05 1.1 [zoom].def||sound/Golden Wind.mp3
Venice|stages/Love In Venice 1.1.def||sound/Love_In_Venice.mp3
Rome|stages/Rome.def||sound/22 - King Crimson.mp3
Small Island (Judgement)|stages/jjba-kameo.def|mugen/stages/44-small-island-judgement.png|sound/06 - Muhammed Avdol's Theme.mp3
PASSIONE YACHT|stages/PASS.def|mugen/stages/45-passione-yacht.png|sound/Torture Dance.mp3
MANU_Jo-04|stages/MANU_Jo-04.def|mugen/stages/46-manu-jo-04.png|sound/CNBT.mp3
Italy Stage|stages/KOF2001_Italy_Stage.def|mugen/stages/47-italy-stage.png|sound/Free Your Body.mp3
Burning Down The House|stages/Burning Down The House.def||sound/Weather Report BGM.mp3
Jo Jo part 6 Cytec Denka|stages/Jo_Jo_part_6_Cytec_Denka.def||sound/Part 6_ Green Dolphin Street Prison.mp3
Kennedy Space Center|stages/KennedySpaceCenter.def|mugen/stages/50-kennedy-space-center.png|sound/Pucci's Theme.mp3
Steel Ball Run|stages/SteelBallRun.def||sound/diego_brando_scary_monsters_battle.mp3
